,Publisher,Year,total_sales
175,Bethesda Softworks,2015.0,16.44
176,Electronic Arts,2016.0,12.25
177,Ubisoft,2016.0,9.76
178,Sony Computer Entertainment,2016.0,6.56
179,Namco Bandai Games,2016.0,6.49
180,Activision,2016.0,3.67
181,Sega,2017.0,0.04
182,Idea Factory,2017.0,0.01
183,Ubisoft,2020.0,0.29
184,Unknown,N/A,21.02
185,Electronic Arts,N/A,16.93
186,Warner Bros. Interactive Entertainment,N/A,11.55
187,Atari,N/A,10.45
188,N/A,N/A,6.49
